epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,261.424,1.11108,0.89703,1.04381,0.86693,0.84887,0.91216,0.48363,1.83985,1.01028,1.33081,0.0002872,0.0002872,0.0002872
110,263.839,1.09775,0.8846,1.02187,0.84896,0.74742,0.86126,0.45193,1.83301,1.09164,1.32816,0.0002806,0.0002806,0.0002806
111,266.235,1.06424,0.86922,1.03489,0.90566,0.7237,0.86362,0.46616,1.8415,1.05172,1.3348,0.000274,0.000274,0.000274
112,268.677,1.02218,0.86501,0.99758,0.85808,0.84968,0.90353,0.48327,1.8452,0.93008,1.33274,0.0002674,0.0002674,0.0002674
113,270.978,1.0785,0.89304,1.05004,0.88805,0.82063,0.90744,0.4772,1.85979,0.92978,1.34141,0.0002608,0.0002608,0.0002608
114,273.357,1.05011,0.85374,1.02535,0.90985,0.79222,0.90037,0.47292,1.83922,0.96031,1.34826,0.0002542,0.0002542,0.0002542
115,275.703,1.01967,0.80807,0.9971,0.79312,0.78243,0.87208,0.46911,1.80485,1.03902,1.33784,0.0002476,0.0002476,0.0002476
116,278.076,0.99773,0.81032,0.99101,0.77667,0.89239,0.89095,0.48553,1.78468,0.97114,1.30961,0.000241,0.000241,0.000241
117,280.442,1.0358,0.86087,1.0176,0.86248,0.77947,0.89245,0.47261,1.7897,0.97223,1.3127,0.0002344,0.0002344,0.0002344
118,282.798,1.06049,0.87197,1.01058,0.83433,0.80207,0.89109,0.46844,1.80266,0.98248,1.33673,0.0002278,0.0002278,0.0002278
119,285.158,1.00078,0.81736,0.99602,0.9182,0.72658,0.88944,0.47663,1.80247,0.97758,1.34782,0.0002212,0.0002212,0.0002212
120,287.522,0.98211,0.78007,0.99418,0.84176,0.71005,0.87972,0.48448,1.76007,0.969,1.31531,0.0002146,0.0002146,0.0002146
121,289.805,1.04298,0.82803,0.98406,0.8314,0.70769,0.88795,0.49079,1.7512,0.96284,1.31151,0.000208,0.000208,0.000208
122,292.162,1.04236,0.83974,1.01687,0.85024,0.85146,0.91081,0.49788,1.77439,0.92947,1.31727,0.0002014,0.0002014,0.0002014
123,294.551,0.94037,0.77977,0.98858,0.84993,0.84178,0.90153,0.48991,1.77063,0.91278,1.3112,0.0001948,0.0001948,0.0001948
124,296.918,0.98006,0.78062,0.98879,0.96798,0.71196,0.91287,0.48574,1.76727,0.96546,1.30684,0.0001882,0.0001882,0.0001882
125,299.388,1.03406,0.84291,1.00174,0.94239,0.70409,0.9046,0.48421,1.75687,0.98567,1.30249,0.0001816,0.0001816,0.0001816
126,301.759,0.97824,0.78019,0.99799,0.95369,0.70309,0.90192,0.49325,1.75215,0.94926,1.30193,0.000175,0.000175,0.000175
127,304.115,0.94272,0.76966,0.97251,0.96432,0.74442,0.91231,0.48773,1.76855,0.89902,1.30056,0.0001684,0.0001684,0.0001684
128,306.494,0.99575,0.79253,0.99861,0.93628,0.76385,0.90847,0.48293,1.75144,0.89156,1.29544,0.0001618,0.0001618,0.0001618
129,308.872,0.99321,0.81296,0.97801,0.93621,0.74642,0.90783,0.48731,1.76459,0.91005,1.30276,0.0001552,0.0001552,0.0001552
130,311.217,0.97389,0.77407,0.99546,0.86332,0.781,0.90019,0.48069,1.76017,0.92922,1.31495,0.0001486,0.0001486,0.0001486
131,313.593,0.95526,0.79839,0.97027,0.87849,0.76459,0.89591,0.48375,1.75669,0.94099,1.30696,0.000142,0.000142,0.000142
132,315.966,0.97354,0.7931,0.97812,0.81141,0.80334,0.89456,0.49375,1.74763,0.93754,1.30246,0.0001354,0.0001354,0.0001354
